year,tdb
-12573,-2871051.229951851
-12572,-2870685.983603362
-12571,-2870320.7445708206
-12570,-2869955.4974972885
-12569,-2869590.2595667588
-12568,-2869225.01697422
-12567,-2868859.769204798
-12566,-2868494.532530442
-12565,-2868129.286589791
-12564,-2867764.0429806123
-12563,-2867398.80557728
-12562,-2867033.557309108
-12561,-2866668.316107968
-12560,-2866303.0717781307
-12559,-2865937.824205721
-12558,-2865572.5876527457
-12557,-2865207.343435405
-12556,-2864842.0978508694
-12555,-2864476.859531887
-12554,-2864111.6132350536
-12553,-2863746.3718088055
-12552,-2863381.132196958
-12551,-2863015.8834520075
-12550,-2862650.6452749344
-12549,-2862285.3993542837
-12548,-2861920.1504168026
-12547,-2861554.9140156843
-12546,-2861189.6684857868
-12545,-2860824.427921409
-12544,-2860459.1879434995
-12543,-2860093.939469225
-12542,-2859728.7015699316
-12541,-2859363.458004255
-12540,-2858998.2117616273
-12539,-2858632.9735141853
-12538,-2858267.7273406303
-12537,-2857902.482228433
-12536,-2857537.240089262
-12535,-2857171.993798415
-12534,-2856806.7541729305
-12533,-2856441.5137111926
-12532,-2856076.265996256
-12531,-2855711.027546728
-12530,-2855345.7846402684
-12529,-2854980.5405489868
-12528,-2854615.3024893524
-12527,-2854250.0551744355
-12526,-2853884.813301984
-12525,-2853519.56927393
-12524,-2853154.3197165485
-12523,-2852789.081165432
-12522,-2852423.838863129
-12521,-2852058.5953210993
-12520,-2851693.3552710684
-12519,-2851328.1091597956
-12518,-2850962.868533735
-12517,-2850597.6276212195
-12516,-2850232.381611457
-12515,-2849867.1408229945
-12514,-2849501.89803367
-12513,-2849136.6506390283
-12512,-2848771.4093656465
-12511,-2848406.165732201
-12510,-2848040.923979559
-12509,-2847675.6838535797
-12508,-2847310.436329956
-12507,-2846945.195073094
-12506,-2846579.953857529
-12505,-2846214.709426308
-12504,-2845849.468681805
-12503,-2845484.2249485645
-12502,-2845118.9809541777
-12501,-2844753.736977041
-12500,-2844388.49118674
-12499,-2844023.249580846
-12498,-2843658.00984852
-12497,-2843292.7662542807
-12496,-2842927.523270284
-12495,-2842562.281471465
-12494,-2842197.038292532
-12493,-2841831.7967484845
-12492,-2841466.5525486795
-12491,-2841101.3082048064
-12490,-2840736.0661714924
-12489,-2840370.8190369066
-12488,-2840005.5760946255
-12487,-2839640.3345513213
-12486,-2839275.0935096806
-12485,-2838909.851456955
-12484,-2838544.607184503
-12483,-2838179.3647729475
-12482,-2837814.123398329
-12481,-2837448.8813939122
-12480,-2837083.6375163402
-12479,-2836718.39508948
-12478,-2836353.1514208904
-12477,-2835987.904442465
-12476,-2835622.66195496
-12475,-2835257.418750247
-12474,-2834892.1779774697
-12473,-2834526.936263771
-12472,-2834161.6900547715
-12471,-2833796.4501366513
-12470,-2833431.2086589867
-12469,-2833065.96476743
-12468,-2832700.7230697963
-12467,-2832335.478802896
-12466,-2831970.234441664
-12465,-2831604.990788023
-12464,-2831239.7460178975
-12463,-2830874.5047907373
-12462,-2830509.2657347843
-12461,-2830144.019258355
-12460,-2829778.7769122086
-12459,-2829413.534742729
-12458,-2829048.290941309
-12457,-2828683.051257847
-12456,-2828317.8059672834
-12455,-2827952.562421485
-12454,-2827587.321393558
-12453,-2827222.0726505546
-12452,-2826856.8315566024
-12451,-2826491.5906221354
-12450,-2826126.3473163294
-12449,-2825761.107012041
-12448,-2825395.8618581863
-12447,-2825030.618996896
-12446,-2824665.380675801
-12445,-2824300.13401677
-12444,-2823934.890885097
-12443,-2823569.6493342556
-12442,-2823204.4007308083
-12441,-2822839.1597724995
-12440,-2822473.915581178
-12439,-2822108.6726676608
-12438,-2821743.437005651
-12437,-2821378.188569491
-12436,-2821012.9460446155
-12435,-2820647.7067256663
-12434,-2820282.460460013
-12433,-2819917.221543515
-12432,-2819551.977310445
-12431,-2819186.7313119387
-12430,-2818821.4917284623
-12429,-2818456.243087369
-12428,-2818090.9996010372
-12427,-2817725.761696685
-12426,-2817360.515904732
-12425,-2816995.273878565
-12424,-2816630.0327210445
-12423,-2816264.7866363237
-12422,-2815899.5510876626
-12421,-2815534.3053247593
-12420,-2815169.059254992
-12419,-2814803.820945218
-12418,-2814438.570698119
-12417,-2814073.328727062
-12416,-2813708.088341606
-12415,-2813342.842506076
-12414,-2812977.6068903888
-12413,-2812612.3597550234
-12412,-2812247.114050393
-12411,-2811881.8770545805
-12410,-2811516.630257927
-12409,-2811151.3884924892
-12408,-2810786.1470743176
-12407,-2810420.8992149653
-12406,-2810055.659769307
-12405,-2809690.4147864673
-12404,-2809325.168559951
-12403,-2808959.933394635
-12402,-2808594.6873725886
-12401,-2808229.442682203
-12400,-2807864.20433692
-12399,-2807498.9568447117
-12398,-2807133.71992978
-12397,-2806768.4762329897
-12396,-2806403.2274594298
-12395,-2806037.9891670775
-12394,-2805672.740882377
-12393,-2805307.4953510975
-12392,-2804942.2581068994
-12391,-2804577.012796622
-12390,-2804211.7743118154
-12389,-2803846.5313934535
-12388,-2803481.2839066153
-12387,-2803116.047084664
-12386,-2802750.803400319
-12385,-2802385.556971955
-12384,-2802020.3182923254
-12383,-2801655.0698470734
-12382,-2801289.8273785478
-12381,-2800924.5858839955
-12380,-2800559.3378694244
-12379,-2800194.102063176
-12378,-2799828.8575461563
-12377,-2799463.6106132865
-12376,-2799098.372894397
-12375,-2798733.127736615
-12374,-2798367.888000194
-12373,-2798002.6463197656
-12372,-2797637.398034119
-12371,-2797272.157451654
-12370,-2796906.9128393997
-12369,-2796541.6659338465
-12368,-2796176.428140958
-12367,-2795811.185282631
-12366,-2795445.942072273
-12365,-2795080.701027086
-12364,-2794715.4539370686
-12363,-2794350.214276622
-12362,-2793984.9737296207
-12361,-2793619.7246781224
-12360,-2793254.4857513728
-12359,-2792889.240278545
-12358,-2792523.995610439
-12357,-2792158.7556353193
-12356,-2791793.509942243
-12355,-2791428.27105995
-12354,-2791063.0287916334
-12353,-2790697.781616032
-12352,-2790332.542079103
-12351,-2789967.300143226
-12350,-2789602.0571789667
-12349,-2789236.8148189327
-12348,-2788871.5683386615
-12347,-2788506.324173282
-12346,-2788141.0812485255
-12345,-2787775.8354125433
-12344,-2787410.595732609
-12343,-2787045.3560476433
-12342,-2786680.1115531474
-12341,-2786314.870085147
-12340,-2785949.626029401
-12339,-2785584.384439838
-12338,-2785219.1435577963
-12337,-2784853.896602588
-12336,-2784488.6538682207
-12335,-2784123.4103070665
-12334,-2783758.16583708
-12333,-2783392.923269784
-12332,-2783027.681350204
-12331,-2782662.4391766386
-12330,-2782297.196529546
-12329,-2781931.9514891794
-12328,-2781566.7092807684
-12327,-2781201.470176122
-12326,-2780836.2272541085
-12325,-2780470.983072769
-12324,-2780105.7396814357
-12323,-2779740.4943557857
-12322,-2779375.251234442
-12321,-2779010.0073650926
-12320,-2778644.765562116
-12319,-2778279.525236319
-12318,-2777914.2818187736
-12317,-2777549.037661204
-12316,-2777183.795553894
-12315,-2776818.554550819
-12314,-2776453.3097960223
-12313,-2776088.0665723
-12312,-2775722.821676029
-12311,-2775357.578200236
-12310,-2774992.33716817
-12309,-2774627.0920446794
-12308,-2774261.8526811562
-12307,-2773896.61109332
-12306,-2773531.365367543
-12305,-2773166.1236097254
-12304,-2772800.87975082
-12303,-2772435.63883604
-12302,-2772070.3975880435
-12301,-2771705.150653272
-12300,-2771339.9074598514
-12299,-2770974.663957755
-12298,-2770609.4185948875
-12297,-2770244.17699638
-12296,-2769878.9360168166
-12295,-2769513.693079804
-12294,-2769148.4529972887
-12293,-2768783.2073043818
-12292,-2768417.965591643
-12291,-2768052.7271482637
-12290,-2767687.479311181
-12289,-2767322.2371043796
-12288,-2766956.992294506
-12287,-2766591.745988379
-12286,-2766226.507020059
-12285,-2765861.26123102
-12284,-2765496.0200016787
-12283,-2765130.781178724
-12282,-2764765.532813144
-12281,-2764400.291991651
-12280,-2764035.051231941
-12279,-2763669.807094724
-12278,-2763304.567836337
-12277,-2762939.3213960584
-12276,-2762574.0754526583
-12275,-2762208.836442086
-12274,-2761843.5884736637
-12273,-2761478.347218355
-12272,-2761113.1082972707
-12271,-2760747.861101087
-12270,-2760382.622554209
-12269,-2760017.3771398626
-12268,-2759652.133155116
-12267,-2759286.8964643255
-12266,-2758921.6479259925
