year,tdb
-12898,-2989744.2561063264
-12897,-2989379.0167562207
-12896,-2989013.7784633534
-12895,-2988648.5393867567
-12894,-2988283.298638126
-12893,-2987918.057572471
-12892,-2987552.8162847515
-12891,-2987187.5717425747
-12890,-2986822.332908947
-12889,-2986457.0952194463
-12888,-2986091.853366089
-12887,-2985726.615253751
-12886,-2985361.374865733
-12885,-2984996.1374375746
-12884,-2984630.9026604034
-12883,-2984265.6608611913
-12882,-2983900.423650288
-12881,-2983535.1852558637
-12880,-2983169.9421546105
-12879,-2982804.7044475926
-12878,-2982439.4655724047
-12877,-2982074.227459792
-12876,-2981708.9907401763
-12875,-2981343.7464674916
-12874,-2980978.5063402755
-12873,-2980613.269301314
-12872,-2980248.0254745353
-12871,-2979882.7869072333
-12870,-2979517.5466255844
-12869,-2979152.302884578
-12868,-2978787.066481513
-12867,-2978421.8220145702
-12866,-2978056.5855562724
-12865,-2977691.35248237
-12864,-2977326.109496068
-12863,-2976960.8736632224
-12862,-2976595.6358985333
-12861,-2976230.396231043
-12860,-2975865.1624694653
-12859,-2975499.919440152
-12858,-2975134.6786251254
-12857,-2974769.440619194
-12856,-2974404.1937595857
-12855,-2974038.953232183
-12854,-2973673.7161681857
-12853,-2973308.473300335
-12852,-2972943.2368642455
-12851,-2972577.99439428
-12850,-2972212.752096968
-12849,-2971847.5205686437
-12848,-2971482.2770245345
-12847,-2971117.0393926892
-12846,-2970751.8041407354
-12845,-2970386.559172106
-12844,-2970021.324461109
-12843,-2969656.083400649
-12842,-2969290.843661789
-12841,-2968925.6116478005
-12840,-2968560.366747847
-12839,-2968195.126339243
-12838,-2967829.890233474
-12837,-2967464.6464813724
-12836,-2967099.4097162476
-12835,-2966734.1679176493
-12834,-2966368.9228738304
-12833,-2966003.6863392964
-12832,-2965638.4413505234
-12831,-2965273.2002237467
-12830,-2964907.968626784
-12829,-2964542.726198443
-12828,-2964177.4907219065
-12827,-2963812.2529690694
-12826,-2963447.010269722
-12825,-2963081.7794299377
-12824,-2962716.5373535138
-12823,-2962351.2958885953
-12822,-2961986.0607541734
-12821,-2961620.8148262557
-12820,-2961255.575085014
-12819,-2960890.3365782555
-12818,-2960525.09259204
-12817,-2960159.8577781534
-12816,-2959794.614979998
-12815,-2959429.37038076
-12814,-2959064.136985817
-12813,-2958698.895398031
-12812,-2958333.6568824453
-12811,-2957968.421022282
-12810,-2957603.175646101
-12809,-2957237.9402406523
-12808,-2956872.6995103126
-12807,-2956507.4568482023
-12806,-2956142.226370303
-12805,-2955776.985038257
-12804,-2955411.7459628144
-12803,-2955046.508564433
-12802,-2954681.265628687
-12801,-2954316.030161853
-12800,-2953950.78903337
-12799,-2953585.543697118
-12798,-2953220.3059110893
-12797,-2952855.062657739
-12796,-2952489.8196828514
-12795,-2952124.5839021327
-12794,-2951759.34290627
-12793,-2951394.106055457
-12792,-2951028.8678863067
-12791,-2950663.623771863
-12790,-2950298.390998317
-12789,-2949933.1535694515
-12788,-2949567.912169938
-12787,-2949202.6774857705
-12786,-2948837.43356107
-12785,-2948472.1948172804
-12784,-2948106.9551844085
-12783,-2947741.711709786
-12782,-2947376.4766900986
-12781,-2947011.2363917297
-12780,-2946645.9929206017
-12779,-2946280.754642592
-12778,-2945915.5141343
-12777,-2945550.2749849074
-12776,-2945185.035908642
-12775,-2944819.792301177
-12774,-2944454.553359784
-12773,-2944089.3146617515
-12772,-2943724.07263615
-12771,-2943358.8375880728
-12770,-2942993.6010656115
-12769,-2942628.3624958945
-12768,-2942263.1245786
-12767,-2941897.8829198517
-12766,-2941532.646560233
-12765,-2941167.4089042945
-12764,-2940802.1661791317
-12763,-2940436.925989925
-12762,-2940071.6835935283
-12761,-2939706.440955423
-12760,-2939341.199409589
-12759,-2938975.9592442177
-12758,-2938610.7204949846
-12757,-2938245.482805318
-12756,-2937880.240878636
-12755,-2937515.0028570434
-12754,-2937149.767473747
-12753,-2936784.5287717925
-12752,-2936419.290454991
-12751,-2936054.050634072
-12750,-2935688.810292935
-12749,-2935323.572054592
-12748,-2934958.331391285
-12747,-2934593.0933206417
-12746,-2934227.8555614324
-12745,-2933862.614981887
-12744,-2933497.3720318163
-12743,-2933132.131715241
-12742,-2932766.892345541
-12741,-2932401.6520016147
-12740,-2932036.412505137
-12739,-2931671.1691075778
-12738,-2931305.930067029
-12737,-2930940.690783766
-12736,-2930575.4490267383
-12735,-2930210.214283989
-12734,-2929844.9761655554
-12733,-2929479.7382732397
-12732,-2929114.5006309683
-12731,-2928749.2606396163
-12730,-2928384.0247240877
-12729,-2928018.786526532
-12728,-2927653.542921952
-12727,-2927288.302162341
-12726,-2926923.0601698654
-12725,-2926557.817600228
-12724,-2926192.578188752
-12723,-2925827.3383342866
-12722,-2925462.0990300477
-12721,-2925096.861801097
-12720,-2924731.617038492
-12719,-2924366.380138141
-12718,-2924001.143794194
-12717,-2923635.9029523125
-12716,-2923270.667060038
-12715,-2922905.4250607537
-12714,-2922540.185506588
-12713,-2922174.9496029653
-12712,-2921809.7061039517
-12711,-2921444.469921277
-12710,-2921079.2327219686
-12709,-2920713.9890907044
-12708,-2920348.751332175
-12707,-2919983.510876692
-12706,-2919618.270396432
-12705,-2919253.0343454136
-12704,-2918887.788035009
-12703,-2918522.5459853085
-12702,-2918157.308129928
-12701,-2917792.0631353445
-12700,-2917426.827630236
-12699,-2917061.5904749585
-12698,-2916696.350095257
-12697,-2916331.116860371
-12696,-2915965.872906183
-12695,-2915600.6357515743
-12694,-2915235.401865433
-12693,-2914870.1585748317
-12692,-2914504.9201836362
-12691,-2914139.6799803516
-12690,-2913774.4362322995
-12689,-2913409.200046447
-12688,-2913043.956851339
-12687,-2912678.7158582117
-12686,-2912313.4804716557
-12685,-2911948.2347520366
-12684,-2911582.9951935615
-12683,-2911217.759439556
-12682,-2910852.5162122995
-12681,-2910487.2825217126
-12680,-2910122.039491725
-12679,-2909756.7963223383
-12678,-2909391.563320078
-12677,-2909026.318645837
-12676,-2908661.082955108
-12675,-2908295.848822511
-12674,-2907930.6056181826
-12673,-2907565.3710628916
-12672,-2907200.128896733
-12671,-2906834.8870839644
-12670,-2906469.6526925005
-12669,-2906104.407851098
-12668,-2905739.1646661544
-12667,-2905373.92630695
-12666,-2905008.680206958
-12665,-2904643.4433084754
-12664,-2904278.2046684
-12663,-2903912.9617602155
-12662,-2903547.728795099
-12661,-2903182.487104075
-12660,-2902817.246548862
-12659,-2902452.015541265
-12658,-2902086.7730861595
-12657,-2901721.53770665
-12656,-2901356.297638312
-12655,-2900991.0519090183
-12654,-2900625.8170759687
-12653,-2900260.5745909046
-12652,-2899895.333097621
