year,tdb
-12519,-2851328.821045408
-12518,-2850963.578641448
-12517,-2850598.3364344146
-12516,-2850233.08983629
-12515,-2849867.8482211037
-12514,-2849502.6056776354
-12513,-2849137.3588566687
-12512,-2848772.1178265484
-12511,-2848406.8757562824
-12510,-2848041.6346665053
-12509,-2847676.3952609263
-12508,-2847311.1488823174
-12507,-2846945.9075023504
-12506,-2846580.6665427946
-12505,-2846215.421724067
-12504,-2845850.1796560464
-12503,-2845484.935004534
-12502,-2845119.689252232
-12501,-2844754.4434025297
-12500,-2844389.196390831
-12499,-2844023.9530792115
-12498,-2843658.7121479167
-12497,-2843293.4682638086
-12496,-2842928.2246118495
-12495,-2842562.9831919596
-12494,-2842197.740722077
-12493,-2841832.4995226627
-12492,-2841467.2568856487
-12491,-2841102.0130944178
-12490,-2840736.77172001
-12489,-2840371.525740522
-12488,-2840006.282549707
-12487,-2839641.041027409
-12486,-2839275.799439857
-12485,-2838910.555964345
-12484,-2838545.310659364
-12483,-2838180.0663989848
-12482,-2837814.823133886
-12481,-2837449.5800180314
-12480,-2837084.334490614
-12479,-2836719.0909172557
-12478,-2836353.8471867163
-12477,-2835988.599768349
-12476,-2835623.357847455
-12475,-2835258.1154031716
-12474,-2834892.875046365
-12473,-2834527.6350193108
-12472,-2834162.389322632
-12471,-2833797.1499558557
-12470,-2833431.9095380343
-12469,-2833066.665241002
-12468,-2832701.42330415
-12467,-2832336.178248044
-12466,-2831970.9323464977
-12465,-2831605.687662394
-12464,-2831240.44099012
-12463,-2830875.197863456
-12462,-2830509.957809923
-12461,-2830144.709859566
-12460,-2829779.4665176068
-12459,-2829414.224460597
-12458,-2829048.980372075
-12457,-2828683.741465006
-12456,-2828318.4969075536
-12455,-2827953.2538027624
-12454,-2827588.014506723
-12453,-2827222.766283136
-12452,-2826857.5256301165
-12451,-2826492.285571214
-12450,-2826127.0417024475
-12449,-2825761.801074026
-12448,-2825396.5549361845
-12447,-2825031.310411211
-12446,-2824666.0709566297
-12445,-2824300.822375525
-12444,-2823935.5773229524
-12443,-2823570.334842217
-12442,-2823205.084952793
-12441,-2822839.8432668624
-12440,-2822474.599341984
-12439,-2822109.356284421
-12438,-2821744.12157626
-12437,-2821378.8739531944
-12436,-2821013.631921147
-12435,-2820648.3942883955
-12434,-2820283.148461595
-12433,-2819917.9098841026
-12432,-2819552.6662646644
-12431,-2819187.4195239004
-12430,-2818822.1795057636
-12429,-2818456.9297362724
-12428,-2818091.684485999
-12427,-2817726.4453392457
-12426,-2817361.1976843737
-12425,-2816995.95386366
-12424,-2816630.711886339
-12423,-2816265.4646979095
-12422,-2815900.228596229
-12421,-2815534.983204264
-12420,-2815169.73709331
-12419,-2814804.499819003
-12418,-2814439.250498711
-12417,-2814074.0091205193
-12416,-2813708.7703231256
-12415,-2813343.524839106
-12414,-2812978.2894613743
-12413,-2812613.042758315
-12412,-2812247.796173958
-12411,-2811882.5585488547
-12410,-2811517.310463012
-12409,-2811152.066863115
-12408,-2810786.8240756923
-12407,-2810421.5744273486
-12406,-2810056.333311012
-12405,-2809691.0876755435
-12404,-2809325.84051451
-12403,-2808960.604955773
-12402,-2808595.359474104
-12401,-2808230.114946519
-12400,-2807864.877694004
-12399,-2807499.631203118
-12398,-2807134.3948461628
-12397,-2806769.1525865337
-12396,-2806403.9040303556
-12395,-2806038.665842763
-12394,-2805673.417831233
-12393,-2805308.1713359207
-12392,-2804942.933250944
-12391,-2804577.686569431
-12390,-2804212.446204855
-12389,-2803847.2018802166
-12388,-2803481.952718432
-12387,-2803116.714288122
-12386,-2802751.4700903594
