year,tt
2411,2601738.6280397666
2412,2602103.8712636344
2413,2602469.114487507
2414,2602834.3577113836
2415,2603199.6009352645
2416,2603564.84415915
2417,2603930.08738304
2418,2604295.330606934
2419,2604660.5738308327
2420,2605025.817054736
2421,2605391.060278643
2422,2605756.303502555
2423,2606121.546726471
2424,2606486.7899503913
2425,2606852.033174316
2426,2607217.2763982452
2427,2607582.5196221787
2428,2607947.762846117
2429,2608313.0060700593
2430,2608678.249294006
2431,2609043.492517957
2432,2609408.7357419124
2433,2609773.978965872
2434,2610139.222189836
2435,2610504.4654138046
2436,2610869.7086377777
2437,2611234.951861755
2438,2611600.1950857365
2439,2611965.4383097226
2440,2612330.681533713
2441,2612695.9247577074
2442,2613061.1679817066
2443,2613426.4112057104
2444,2613791.654429718
2445,2614156.89765373
2446,2614522.140877747
2447,2614887.384101768
2448,2615252.6273257933
2449,2615617.870549823
2450,2615983.1137738572
2451,2616348.3569978955
2452,2616713.6002219385
2453,2617078.8434459856
2454,2617444.086670037
2455,2617809.329894093
2456,2618174.5731181535
2457,2618539.816342218
2458,2618905.0595662873
2459,2619270.3027903605
2460,2619635.5460144384
2461,2620000.7892385204
2462,2620366.032462607
2463,2620731.275686698
2464,2621096.518910793
2465,2621461.762134893
2466,2621827.005358997
2467,2622192.2485831054
2468,2622557.491807218
2469,2622922.735031335
2470,2623287.978255457
2471,2623653.2214795826
2472,2624018.464703713
2473,2624383.7079278473
2474,2624748.9511519866
2475,2625114.1943761297
2476,2625479.4376002774
2477,2625844.6808244297
2478,2626209.9240485863
2479,2626575.167272747
2480,2626940.4104969124
2481,2627305.653721082
2482,2627670.896945256
2483,2628036.1401694342
2484,2628401.383393617
2485,2628766.6266178037
2486,2629131.869841995
2487,2629497.1130661913
2488,2629862.356290391
2489,2630227.5995145957
2490,2630592.842738805
2491,2630958.0859630182
2492,2631323.329187236
2493,2631688.572411458
2494,2632053.8156356844
2495,2632419.058859915
2496,2632784.3020841503
2497,2633149.5453083897
2498,2633514.788532634
2499,2633880.031756882
2500,2634245.2749811346
2501,2634610.5182053917
2502,2634975.761429653
2503,2635341.0046539186
2504,2635706.2478781887
2505,2636071.491102463
2506,2636436.734326742
2507,2636801.9775510253
2508,2637167.2207753127
2509,2637532.463999605
2510,2637897.7072239015
2511,2638262.950448202
2512,2638628.193672507
2513,2638993.436896817
2514,2639358.6801211303
2515,2639723.9233454484
2516,2640089.1665697712
2517,2640454.409794098
2518,2640819.6530184294
2519,2641184.8962427652
2520,2641550.1394671053
2521,2641915.3826914495
2522,2642280.6259157984
2523,2642645.8691401514
2524,2643011.112364509
2525,2643376.355588871
2526,2643741.598813237
