year,tt
6101,3949483.249504635
6102,3949848.4947799467
6103,3950213.7400552626
6104,3950578.9853305826
6105,3950944.2306059077
6106,3951309.4758812366
6107,3951674.72115657
6108,3952039.9664319083
6109,3952405.2117072507
6110,3952770.4569825977
6111,3953135.702257949
6112,3953500.9475333043
6113,3953866.1928086644
6114,3954231.4380840287
6115,3954596.6833593976
6116,3954961.928634771
6117,3955327.1739101484
6118,3955692.4191855304
6119,3956057.664460917
6120,3956422.9097363083
6121,3956788.1550117033
6122,3957153.4002871034
6123,3957518.645562507
6124,3957883.890837916
6125,3958249.136113329
6126,3958614.381388746
6127,3958979.626664168
6128,3959344.871939595
6129,3959710.1172150252
6130,3960075.3624904603
6131,3960440.6077659
6132,3960805.853041344
6133,3961170.984905896
6134,3961536.22438059
6135,3961901.4642957756
6136,3962266.708500849
6137,3962631.952705927
6138,3962997.19691101
6139,3963362.4411160965
6140,3963727.685321188
6141,3964092.9295262834
6142,3964458.173731384
6143,3964823.417936488
6144,3965188.662141597
6145,3965553.9063467104
6146,3965919.1505518286
6147,3966284.3947569504
6148,3966649.638962077
6149,3967014.883167208
6150,3967380.1273723436
6151,3967745.3715774836
6152,3968110.615782628
6153,3968475.8599877763
6154,3968841.1041929293
6155,3969206.3483980866
6156,3969571.5926032485
6157,3969936.836808415
6158,3970302.0810135854
6159,3970667.325218761
6160,3971032.5694239405
6161,3971397.8136291243
6162,3971763.057834313
6163,3972128.302039506
6164,3972493.546244703
6165,3972858.7904499043
6166,3973224.034655111
6167,3973589.2788603213
6168,3973954.5230655363
6169,3974319.767270755
6170,3974685.011475979
6171,3975050.2556812074
6172,3975415.4998864396
6173,3975780.7440916765
6174,3976145.9882969176
6175,3976511.232502164
6176,3976876.476707414
6177,3977241.720912669
6178,3977606.9651179276
6179,3977972.209323191
6180,3978337.453528459
6181,3978702.697733731
6182,3979067.941939008
6183,3979433.186144289
6184,3979798.4303495744
6185,3980163.674554865
6186,3980528.918760159
6187,3980894.162965458
6188,3981259.407170761
6189,3981624.6513760686
6190,3981989.803271866
6191,3982355.046733036
6192,3982720.2901942106
6193,3983085.53365539
6194,3983450.7771165734
6195,3983816.0205777613
6196,3984181.2640389535
6197,3984546.5075001502
6198,3984911.750961351
6199,3985276.994422557
6200,3985642.2378837666
6201,3986007.481344981
6202,3986372.7248062
6203,3986737.968267423
6204,3987103.2117286506
6205,3987468.455189883
6206,3987833.698651119
6207,3988198.94211236
6208,3988564.185573605
6209,3988929.4290348548
6210,3989294.672496109
6211,3989659.915957367
6212,3990025.1594186304
6213,3990390.4028798975
6214,3990755.6463411693
6215,3991120.8898024457
6216,3991486.133263726
6217,3991851.376725011
6218,3992216.6201863005
6219,3992581.863647594
6220,3992947.1071088924
6221,3993312.3505701954
6222,3993677.5940315025
6223,3994042.837492814
6224,3994408.08095413
6225,3994773.32441545
6226,3995138.567876775
6227,3995503.811338104
6228,3995869.0547994375
6229,3996234.2982607754
6230,3996599.541722118
6231,3996964.785183464
6232,3997330.028644816
6233,3997695.2721061716
6234,3998060.5155675313
6235,3998425.7590288958
6236,3998791.002490265
6237,3999156.245951638
6238,3999521.4894130155
6239,3999886.732874398
6240,4000251.9763357844
6241,4000617.2197971754
6242,4000982.463258571
6243,4001347.7067199703
6244,4001712.950181375
6245,4002078.1936427834
6246,4002443.4371041963
6247,4002808.680565614
6248,4003173.924027036
6249,4003539.1674884623
6250,4003904.4109498924
6251,4004269.5829381635
6252,4004634.823798095
6253,4005000.0685899123
6254,4005365.3133817334
6255,4005730.5581735596
6256,4006095.8029653896
6257,4006461.047757224
6258,4006826.2925490635
6259,4007191.5373409064
6260,4007556.7821327546
6261,4007922.026924607
6262,4008287.2717164634
6263,4008652.5165083245
6264,4009017.7613001904
6265,4009383.0060920604
6266,4009748.250883934
6267,4010113.4956758134
6268,4010478.7404676965
6269,4010843.985259584
6270,4011209.230051476
6271,4011574.4748433726
6272,4011939.7196352733
6273,4012304.9644271787
6274,4012670.2092190883
6275,4013035.4540110026
6276,4013400.698802921
6277,4013765.9435948436
6278,4014131.1280985093
6279,4014496.3742945576
6280,4014861.6226916546
6281,4015226.8710887562
6282,4015592.119485862
6283,4015957.3678829726
6284,4016322.6162800873
6285,4016687.8646772066
6286,4017053.1130743297
6287,4017418.361471458
6288,4017783.554806893
6289,4018148.7922490817
6290,4018514.034730117
6291,4018879.2786001423
6292,4019244.5224701716
6293,4019609.7695459174
6294,4019975.016621667
6295,4020340.263697421
6296,4020705.510773179
6297,4021070.7578489427
6298,4021436.00492471
6299,4021801.2520004814
6300,4022166.4990762575
6301,4022531.746152038
6302,4022896.993227823
6303,4023262.2403036123
6304,4023627.440635874
6305,4023992.682454369
6306,4024357.9242728692
6307,4024723.1660913737
6308,4025088.4079098823
6309,4025453.6497283955
6310,4025818.8915469134
6311,4026184.133365435
6312,4026549.3751839614
6313,4026914.6170024923
6314,4027279.8588210274
6315,4027645.1006395672
6316,4028010.3483312842
6317,4028375.596023006
6318,4028740.8437147317
6319,4029106.0914064622
6320,4029471.3390981974
6321,4029836.5867899363
6322,4030201.83448168
6323,4030567.082173428
6324,4030932.2841429315
6325,4031297.5233042273
6326,4031662.766233996
6327,4032028.0091637694
6328,4032393.2521168594
